ID	score	actType	legMode
27387432	1173.90553996866	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27388060	1205.2917462943626	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27397893	1202.6547531321648	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27397894	1201.8815449612243	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27397896	1202.4438974880545	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27401241	1136.2854553030281	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27401242	1206.2942601753332	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27403032	1360.451517341346	home	twoway_vehicle	
-	-	work	twoway_vehicle	
-	-	home		
27413174	1234.3626705081756	home	twoway_vehicle	
-	-	shopping	twoway_vehicle	
-	-	home		
27418930	1206.6365650366808	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27429421	1204.5155000396753	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27445225	1355.5166011559782	home	twoway_vehicle	
-	-	work	twoway_vehicle	
-	-	home		
27452087	1174.8182443840035	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27454232	1132.2888818482713	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27461086	1208.3971251697903	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27463342	1195.1174154281327	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27467290	1196.841585538161	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27468661	1197.7718095558582	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27469913	1207.2915148065067	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27493290	1207.5126579170262	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27501479	1207.1336859107935	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27501481	1205.6142755765509	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27502285	1205.7131089342638	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27504218	1199.5027324605526	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27514106	1205.4668663301252	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27518969	1199.3601661048388	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27525081	1208.3744996435605	home	twoway_vehicle	
-	-	shopping	twoway_vehicle	
-	-	home		
27526704	1440.489654879165	home	twoway_vehicle	
-	-	work	twoway_vehicle	
-	-	home		
27537343	1198.119448267006	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27540731	1202.3930657008414	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27564862	1441.0218971425961	home	twoway_vehicle	
-	-	work	twoway_vehicle	
-	-	home		
27570300	1206.7670598437796	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27578648	1194.9391812131691	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27578650	1203.7103097604893	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27581443	1196.0404172057938	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27581444	1190.313944183296	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
