ID	score	actType	legMode
28789577	1481.6529852065003	home	twoway_vehicle	
-	-	work	twoway_vehicle	
-	-	home		
28852763	1198.7736508263633	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
28869916	1477.4874665084778	home	twoway_vehicle	
-	-	work	twoway_vehicle	
-	-	home		
28881428	1349.6461122238593	home	twoway_vehicle	
-	-	education	twoway_vehicle	
-	-	home		
28923301	1205.945513264907	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
28932186	1134.354429201648	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
28960673	1206.516535630995	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
28971239	1194.789877354349	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
28971240	1200.239518860106	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
29051821	1182.6639360358456	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
29058491	1190.3060886996795	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
29150141	1131.7130782124111	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
29183476	1067.2208942341206	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
29189505	1204.5908459678478	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
29201599	1202.970079493432	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
29312809	1316.42307496085	home	twoway_vehicle	
-	-	work	twoway_vehicle	
-	-	home		
29317060	1205.531454760138	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
29374788	1206.1377881106473	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
29398826	1238.8553928698573	home	twoway_vehicle	
-	-	shopping	twoway_vehicle	
-	-	home		
29417464	1143.73276206901	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
29549838	1382.8256713439005	home	twoway_vehicle	
-	-	work	twoway_vehicle	
-	-	home		
29550622	1201.5852920675336	home	twoway_vehicle	
-	-	work	twoway_vehicle	
-	-	home		
29553323	1201.7954749342707	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
29597072	701.8153798653864	home	twoway_vehicle	
-	-	work	twoway_vehicle	
-	-	home		
29612570	1136.872373488422	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
29699359	1203.6702821796948	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
29700592	1200.6557040191126	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
29752238	1233.53170977707	home	twoway_vehicle	
-	-	shopping	twoway_vehicle	
-	-	home		
29776267	1200.7987970750569	home	twoway_vehicle	
-	-	shopping	twoway_vehicle	
-	-	home		
29838166	1206.1591525096194	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
