27601859,127,2.98
29083410,436,9.55
26960595,927,0.83
27305231,141,11.04
27258177,165,7.59
26800101,778,1.28
27145930,149,6.32
28068296,91,13.73
26951895,426,6.74
27248587,290,7.62
28046488,352,14.16
28176764,158,13.59
26725247,275,6.06
26795596,232,6.75
29612713,1219,17.34
27714563,142,5.36
26716528,234,7.34
27564566,113,5.74
27418930,259,11.07
26760447,366,7.86
26917884,269,0
31224598,1,11.61
33490036,145,11.28
28121110,205,1.99
28121111,205,129.3
27452087,300,15.59
33141345,271,8.06
29286821,171,5.44
32321432,254,2.01
29017550,234,16.74
26880919,149,10.64
27634505,631,4.87
29101995,205,11.95
26772894,295,19.27
27236459,171,8.6
29530837,245,5.28
27445225,382,11.17
27340041,7496,3.35
27515378,393,10.24
26843420,389,10.16
29916963,378,22.37
28517648,275,15.43
28563787,223,4.13
29866529,383,4.23
28563789,223,4.13
27258130,284,6.42
27416730,201,8.89
27178888,297,4.66
32950700,318,2.18
28403639,150,12.65
27694923,1034,6.73
27694922,1034,9.11
31502089,1123,8.42
27961511,278,2.16
28769279,345,1.67
28631277,227,20.45
26886278,318,0
32796888,369,6.55
31179974,330,4.58
32796891,165,15.03
29013173,583,3.54
26986814,479,6.94
28912024,370,7.42
27131387,344,10.26
32899898,485,5.04
27880711,592,2.76
26809327,917,1.8
29201599,127,4.51
27102936,149,11.74
28600680,238,45.67
28014482,143,13.66
26841256,368,8.15
27329469,150,7.03
28176452,288,15.95
26818285,296,15
26845977,318,19.33
26738200,201,13.17
33670722,359,6.25
27641061,259,13.92
27493889,378,10
27937406,825,15.09
28176454,1293,6.88
28934487,392,8.46
28600676,238,6.61
28588940,90,3.3
28932186,319,11.96
27916969,2480,5.42
27753936,290,3.66
29388617,364,14.52
26531740,168,11.52
29784866,532,2.98
28763835,429,14.98
28869916,178,4.76
26905504,1,5.99
27889513,196,2.64
27738678,477,18.25
26820227,94,5.05
27315081,395,16.62
28625941,191,3.95
29426711,486,0
28626918,698,25.43
29107016,608,5.11
32414409,297,25.73
28685029,296,7.26
